epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,932.915,1.28835,0.64617,1.21814,0.68022,0.71392,0.66838,0.411,1.29323,0.89743,1.28772,0.000416255,0.000416255,0.000416255
2,1833.29,1.32564,0.69487,1.24187,0.69382,0.70564,0.65778,0.39053,1.3082,0.82575,1.29372,0.000816429,0.000816429,0.000816429
3,2732.26,1.35536,0.72881,1.2646,0.69413,0.69704,0.65506,0.39316,1.31589,0.93126,1.30021,0.0012001,0.0012001,0.0012001
4,3629.63,1.36211,0.73984,1.26787,0.69637,0.69758,0.64478,0.38276,1.32787,0.94891,1.30307,0.00117575,0.00117575,0.00117575
5,4528.19,1.35907,0.74062,1.25868,0.68625,0.69451,0.64256,0.37932,1.34658,0.95387,1.31482,0.001151,0.001151,0.001151
6,5428.96,1.35689,0.72116,1.24582,0.68693,0.6948,0.64363,0.38898,1.29676,0.90207,1.29136,0.00112625,0.00112625,0.00112625
7,6327.73,1.34466,0.71853,1.2599,0.69176,0.69452,0.6615,0.40365,1.29752,0.92395,1.28514,0.0011015,0.0011015,0.0011015
8,7225.81,1.35871,0.72505,1.27546,0.67517,0.69752,0.65322,0.38912,1.32396,0.8914,1.29369,0.00107675,0.00107675,0.00107675
9,8124.6,1.33367,0.7048,1.24792,0.65858,0.69431,0.641,0.3893,1.29002,0.88829,1.27783,0.001052,0.001052,0.001052
10,9021.27,1.33279,0.70067,1.25314,0.67575,0.70137,0.63165,0.38178,1.29176,0.93242,1.28372,0.00102725,0.00102725,0.00102725
11,9920.01,1.32062,0.68872,1.23592,0.65318,0.69205,0.65033,0.39326,1.32327,0.92398,1.29159,0.0010025,0.0010025,0.0010025
12,10816.7,1.32793,0.69546,1.24243,0.69696,0.70553,0.66558,0.4057,1.28577,0.90811,1.27622,0.00097775,0.00097775,0.00097775
13,11715.3,1.33275,0.70078,1.25425,0.69947,0.71384,0.65905,0.39959,1.2875,0.86096,1.27702,0.000953,0.000953,0.000953
14,12614.1,1.32129,0.6813,1.23992,0.6811,0.70722,0.64745,0.39624,1.27189,0.89324,1.27107,0.00092825,0.00092825,0.00092825
15,13510.3,1.32237,0.69022,1.25494,0.69529,0.70253,0.67942,0.41797,1.28236,0.83749,1.27241,0.0009035,0.0009035,0.0009035
16,14407.1,1.30792,0.67963,1.24246,0.69821,0.68973,0.65145,0.39999,1.27568,0.88618,1.2692,0.00087875,0.00087875,0.00087875
17,15303.8,1.31159,0.67149,1.22612,0.69765,0.70422,0.6533,0.40051,1.27782,0.87599,1.27431,0.000854,0.000854,0.000854
18,16199.4,1.29558,0.66798,1.23067,0.67339,0.71201,0.66226,0.40781,1.28453,0.83721,1.27302,0.00082925,0.00082925,0.00082925
19,17097.1,1.30352,0.66676,1.22409,0.68215,0.71284,0.64833,0.39731,1.27951,0.89987,1.27019,0.0008045,0.0008045,0.0008045
20,17993.9,1.29758,0.65604,1.23544,0.67753,0.72829,0.68435,0.41986,1.27278,0.85748,1.26519,0.00077975,0.00077975,0.00077975
21,18889.5,1.29642,0.65803,1.22242,0.68299,0.69985,0.65287,0.40483,1.26869,0.91848,1.26541,0.000755,0.000755,0.000755
22,19785.5,1.28922,0.64532,1.22101,0.68535,0.689,0.65484,0.40319,1.26844,0.90716,1.26518,0.00073025,0.00073025,0.00073025
23,20682.4,1.28181,0.65185,1.22601,0.68346,0.70169,0.64979,0.40234,1.26577,0.87246,1.26578,0.0007055,0.0007055,0.0007055
24,21577.8,1.27834,0.6399,1.21419,0.69341,0.69649,0.63381,0.39219,1.26141,0.90787,1.26687,0.00068075,0.00068075,0.00068075
