epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,699.071,1.59501,1.15251,1.24154,0.61838,0.65823,0.60741,0.34157,1.39531,1.01819,1.15052,0.00998519,0.0033284,0.00998519,0.0033284,0.00998519,0.0033284,0.00998519,0.0033284
2,1313.95,1.61467,1.0089,1.22137,0.65522,0.60929,0.59694,0.31448,1.48886,1.14988,1.23955,0.0199803,0.0066601,0.0199803,0.0066601,0.0199803,0.0066601,0.0199803,0.0066601
3,1910.61,1.65556,1.04661,1.25787,0.61016,0.55354,0.5067,0.27378,1.46257,1.20832,1.24655,0.0299559,0.0099853,0.0299559,0.0099853,0.0299559,0.0099853,0.0299559,0.0099853
4,2503.5,1.65115,1.07831,1.30678,0.59898,0.59693,0.53108,0.2888,1.45209,1.15512,1.2645,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,3094.22,1.58783,0.97898,1.26586,0.64603,0.63752,0.58883,0.32254,1.42275,1.03234,1.23975,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,3685.5,1.54038,0.94179,1.24622,0.64202,0.61385,0.59045,0.33073,1.40774,1.00854,1.2166,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,4276.16,1.51012,0.89852,1.2355,0.68047,0.62571,0.62783,0.35766,1.3733,0.91403,1.21172,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,4866.9,1.49395,0.87789,1.24109,0.67398,0.62877,0.5865,0.33715,1.35221,0.96542,1.20804,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,5457.65,1.47467,0.85483,1.22408,0.69531,0.66704,0.64034,0.36164,1.40905,0.89304,1.23614,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,6047.95,1.45555,0.82972,1.21549,0.69303,0.65657,0.65387,0.38083,1.35499,0.88448,1.20166,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,6638.56,1.44948,0.80559,1.21258,0.67374,0.67837,0.64239,0.3692,1.36068,0.92561,1.20011,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,7228.59,1.42366,0.78655,1.19296,0.66796,0.67095,0.6112,0.36036,1.34238,0.93497,1.19776,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,7819.02,1.43511,0.79722,1.2142,0.69233,0.67735,0.63113,0.36944,1.35298,0.94223,1.19931,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
