epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5281,1.43395,2.07081,1.03731,0.31392,0.43751,0.37064,0.20811,1.12548,1.4091,0.90853,0.000408333,0.000408333,0.000408333
2,84.1048,1.2828,1.00276,1.02255,0.61947,0.30446,0.31239,0.19441,1.13836,1.20054,0.94553,0.000808665,0.000808665,0.000808665
3,117.493,1.23206,0.88281,1.02028,0.43962,0.15479,0.156,0.09009,1.40247,2.02262,1.09819,0.0011925,0.0011925,0.0011925
4,151.24,1.2418,0.89422,1.01981,0.50153,0.51474,0.40708,0.1995,1.25835,0.98915,0.96878,0.00117575,0.00117575,0.00117575
5,184.97,1.37138,0.92204,1.03318,0.62095,0.5832,0.64622,0.32653,1.22081,0.95822,0.94953,0.001151,0.001151,0.001151
6,218.56,1.2481,0.79702,1.00307,0.79566,0.70302,0.72023,0.42667,0.98836,0.71088,0.88717,0.00112625,0.00112625,0.00112625
7,252.413,1.1834,0.7222,0.9702,0.72684,0.69132,0.7249,0.43729,0.98335,0.64043,0.87819,0.0011015,0.0011015,0.0011015
8,286.131,1.10775,0.65455,0.96981,0.80053,0.75739,0.77321,0.46318,0.95362,0.54812,0.87434,0.00107675,0.00107675,0.00107675
9,319.893,1.0917,0.62922,0.97609,0.7595,0.75187,0.78965,0.50561,0.9287,0.51255,0.86532,0.001052,0.001052,0.001052
10,353.68,1.05424,0.59391,0.95673,0.89125,0.7255,0.82838,0.49101,1.0126,0.5657,0.8797,0.00102725,0.00102725,0.00102725
11,387.175,1.1408,0.62874,0.95473,0.84126,0.76441,0.79031,0.48676,0.91705,0.51189,0.86568,0.0010025,0.0010025,0.0010025
12,420.72,1.04782,0.57138,0.91519,0.82239,0.80358,0.82809,0.52721,0.90474,0.47458,0.85668,0.00097775,0.00097775,0.00097775
13,454.525,1.03144,0.56056,0.92944,0.80655,0.81046,0.8235,0.52156,0.89875,0.48551,0.85423,0.000953,0.000953,0.000953
14,487.969,1.07955,0.56084,0.951,0.87093,0.79508,0.84217,0.52424,0.97628,0.48474,0.87879,0.00092825,0.00092825,0.00092825
15,521.483,1.1055,0.59613,0.94585,0.75063,0.78208,0.81685,0.50564,0.96055,0.51038,0.86224,0.0009035,0.0009035,0.0009035
16,554.95,1.13014,0.59774,0.94941,0.83512,0.79398,0.81758,0.48963,1.01827,0.50278,0.86692,0.00087875,0.00087875,0.00087875
17,588.363,1.07288,0.57412,0.94328,0.84645,0.76668,0.83193,0.53122,0.937,0.52521,0.85408,0.000854,0.000854,0.000854
18,622.104,0.99984,0.52603,0.92732,0.87999,0.77995,0.85445,0.54511,0.90699,0.45415,0.85069,0.00082925,0.00082925,0.00082925
19,655.784,0.99345,0.50601,0.89792,0.83816,0.82157,0.84267,0.54792,0.89933,0.4629,0.84969,0.0008045,0.0008045,0.0008045
20,689.42,1.02721,0.51828,0.92678,0.8711,0.78267,0.86181,0.53052,0.9531,0.46428,0.86716,0.00077975,0.00077975,0.00077975
21,722.87,1.01678,0.51879,0.92969,0.83944,0.82517,0.86473,0.57397,0.88409,0.43417,0.84542,0.000755,0.000755,0.000755
22,756.561,0.97241,0.50271,0.91764,0.90526,0.79081,0.87293,0.57608,0.88923,0.42786,0.83891,0.00073025,0.00073025,0.00073025
23,790.19,0.96869,0.49529,0.90662,0.90983,0.83043,0.87543,0.56709,0.8985,0.42397,0.84223,0.0007055,0.0007055,0.0007055
24,823.66,0.96168,0.48631,0.90494,0.90659,0.81916,0.87261,0.5873,0.86578,0.41394,0.83365,0.00068075,0.00068075,0.00068075
25,857.371,0.94915,0.48192,0.90837,0.8998,0.7938,0.87036,0.56001,0.88499,0.44529,0.83954,0.000656,0.000656,0.000656
26,890.828,0.93892,0.47854,0.90742,0.92221,0.79071,0.87459,0.57165,0.86081,0.41265,0.83245,0.00063125,0.00063125,0.00063125
27,924.131,0.9379,0.47878,0.89553,0.86273,0.85563,0.87636,0.57165,0.86348,0.41444,0.83135,0.0006065,0.0006065,0.0006065
28,957.463,0.93071,0.46762,0.88725,0.87775,0.84582,0.87357,0.56479,0.87638,0.40418,0.83729,0.00058175,0.00058175,0.00058175
29,990.86,0.94792,0.4717,0.90569,0.93394,0.82541,0.87638,0.58242,0.86325,0.40867,0.82968,0.000557,0.000557,0.000557
30,1024.39,0.91435,0.45578,0.89775,0.89211,0.8463,0.86962,0.57748,0.86384,0.40347,0.83346,0.00053225,0.00053225,0.00053225
31,1057.76,0.93961,0.46501,0.9144,0.91407,0.8668,0.89686,0.59764,0.85361,0.38645,0.83091,0.0005075,0.0005075,0.0005075
32,1091.41,0.9305,0.44878,0.89014,0.91307,0.84042,0.89999,0.58583,0.87204,0.3982,0.83204,0.00048275,0.00048275,0.00048275
33,1124.93,0.9475,0.45165,0.89711,0.89428,0.86239,0.89767,0.60055,0.84808,0.39196,0.82578,0.000458,0.000458,0.000458
34,1158.55,0.9347,0.45527,0.88423,0.91073,0.862,0.88911,0.59319,0.85015,0.38855,0.82319,0.00043325,0.00043325,0.00043325
35,1192.07,0.90782,0.42918,0.8978,0.89036,0.86362,0.89192,0.58639,0.85547,0.37888,0.82273,0.0004085,0.0004085,0.0004085
36,1225.47,0.90767,0.43366,0.89331,0.94174,0.8398,0.88362,0.58729,0.85349,0.38483,0.82898,0.00038375,0.00038375,0.00038375
37,1258.88,0.8744,0.42197,0.89143,0.89642,0.8493,0.86365,0.57747,0.84404,0.39192,0.82199,0.000359,0.000359,0.000359
38,1292.33,0.90135,0.42848,0.88176,0.91824,0.84198,0.89022,0.59754,0.83844,0.36869,0.82261,0.00033425,0.00033425,0.00033425
39,1325.69,0.88167,0.41393,0.87413,0.83153,0.8879,0.88982,0.59335,0.83313,0.37761,0.81857,0.0003095,0.0003095,0.0003095
40,1359.05,0.88944,0.42481,0.87889,0.93925,0.81566,0.89704,0.59694,0.8245,0.36615,0.81942,0.00028475,0.00028475,0.00028475
41,1393.2,0.85537,0.39825,0.89516,0.91191,0.85007,0.8988,0.58618,0.83423,0.36633,0.81961,0.00026,0.00026,0.00026
