epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,385.992,1.63418,1.26221,1.24144,0.6049,0.61145,0.57595,0.29679,1.50312,1.23843,1.17624,0.00996552,0.00332184,0.00996552,0.00332184,0.00996552,0.00332184,0.00996552,0.00332184
2,735.663,1.55554,0.98088,1.19514,0.62759,0.58768,0.5678,0.31308,1.40504,0.95058,1.16155,0.0199606,0.00665355,0.0199606,0.00665355,0.0199606,0.00665355,0.0199606,0.00665355
3,1085.49,1.5838,1.02412,1.2297,0.57967,0.49951,0.48283,0.24566,1.53437,1.31529,1.27724,0.0299362,0.00997875,0.0299362,0.00997875,0.0299362,0.00997875,0.0299362,0.00997875
4,1433.71,1.59665,1.03557,1.2723,0.62779,0.62211,0.58171,0.31564,1.45945,1.10695,1.24338,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1781.17,1.55043,0.96846,1.25787,0.65496,0.58417,0.5802,0.32128,1.4239,1.06632,1.21815,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2127.66,1.50911,0.92805,1.23046,0.67893,0.65135,0.6564,0.3685,1.42585,0.93412,1.21288,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2473.92,1.48847,0.88369,1.22636,0.6907,0.64781,0.65927,0.3673,1.40712,0.92788,1.21815,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,2819.83,1.46365,0.8647,1.21019,0.72684,0.67808,0.70527,0.39829,1.41162,0.82968,1.20044,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3166.25,1.4606,0.85164,1.20593,0.6933,0.63355,0.64423,0.36684,1.37701,0.91423,1.19397,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,3512.64,1.42729,0.82492,1.19115,0.70049,0.65393,0.67002,0.3876,1.35279,0.83099,1.17293,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,3859.03,1.43272,0.81782,1.19571,0.7104,0.68984,0.69072,0.40805,1.32948,0.842,1.16612,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,4205.54,1.40891,0.80066,1.18138,0.711,0.69443,0.6822,0.39265,1.37454,0.83726,1.18151,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,4552.45,1.40801,0.78196,1.18701,0.69685,0.702,0.67108,0.39604,1.32578,0.88695,1.16254,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,4899.64,1.39238,0.76924,1.17434,0.72843,0.70618,0.69846,0.41027,1.33281,0.78799,1.16167,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,5247.22,1.37967,0.75129,1.16973,0.70958,0.69421,0.69536,0.41038,1.34482,0.77234,1.1676,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,5593.93,1.37714,0.74471,1.16604,0.71849,0.7124,0.71026,0.4209,1.35975,0.77359,1.1779,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,5939.99,1.38033,0.74764,1.17088,0.74294,0.7062,0.70989,0.42803,1.30317,0.77241,1.14342,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,6286.35,1.36139,0.72908,1.1584,0.75523,0.71823,0.72106,0.43135,1.30756,0.72465,1.15806,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,6632.43,1.35191,0.72669,1.1564,0.70009,0.68016,0.67177,0.40854,1.31613,0.82838,1.16128,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,6978.88,1.35514,0.72022,1.15695,0.71123,0.70868,0.69138,0.41609,1.30494,0.82512,1.13622,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,7325.05,1.34573,0.71733,1.15117,0.74033,0.70455,0.72544,0.43621,1.31142,0.73029,1.14844,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,7671.53,1.34,0.70599,1.14926,0.75088,0.72363,0.72682,0.43327,1.30712,0.71768,1.15856,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,8018.13,1.33366,0.69508,1.14739,0.7491,0.71224,0.71869,0.4356,1.28777,0.76747,1.14937,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,8363.73,1.35135,0.70845,1.16514,0.70404,0.68361,0.67827,0.40819,1.30235,0.83904,1.14485,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,8709,1.33062,0.69025,1.13914,0.75715,0.70363,0.74421,0.45037,1.30953,0.70691,1.14925,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
